학원명,지역(구),학원주소,전화번호,1개월 교습비,강사수,학년-초,학년-중,학년-고,학년-기타,과목-국어,과목-영어,과목-수학,과목-사회,과목-과학,과목-외국어,과목-논술,과목-예능,과목-기타,반명
예맥보습학원,중랑구,서울특별시 중랑구 동일로151길 30  2층3층 (묵동),02-974-6751,298300,2,TRUE,TRUE,TRUE,FALSE,1,1,1,0,0,0,0,0,0,국어/영어/수학
예맥보습학원,중랑구,서울특별시 중랑구 동일로151길 30  2층3층 (묵동),02-974-6751,287500,2,TRUE,FALSE,FALSE,FALSE,1,1,1,1,1,0,0,0,0,국어/영어/수학/사회/과학
예맥보습학원,중랑구,서울특별시 중랑구 동일로151길 30  2층3층 (묵동),02-974-6751,250000,2,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,수학
세진보습학원,중랑구,서울특별시 중랑구 공릉로 58  2층4층일부 (묵동),02-978-8383,217900,1,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,1,0,0,논술
세진보습학원,중랑구,서울특별시 중랑구 공릉로 58  2층4층일부 (묵동),02-978-8383,257800,1,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,영어
세진보습학원,중랑구,서울특별시 중랑구 공릉로 58  2층4층일부 (묵동),02-978-8383,253000,1,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0,수학
세진보습학원,중랑구,서울특별시 중랑구 공릉로 58  2층4층일부 (묵동),02-978-8383,136300,1,TRUE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,과학
세진보습학원,중랑구,서울특별시 중랑구 공릉로 58  2층4층일부 (묵동),02-978-8383,192900,1,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,국어
장안로드맵수학학원,동대문구,"서울특별시 동대문구 한천로 124 , 2층 202호 (장안동)",02-2245-7004,212000,3,TRUE,TRUE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,수학
장안로드맵수학학원,동대문구,"서울특별시 동대문구 한천로 124 , 2층 202호 (장안동)",02-2245-7004,210000,3,FALSE,TRUE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,영어
장안로드맵수학학원,동대문구,"서울특별시 동대문구 한천로 124 , 2층 202호 (장안동)",02-2245-7004,160000,3,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,0,국어
장안로드맵수학학원,동대문구,"서울특별시 동대문구 한천로 124 , 2층 202호 (장안동)",02-2245-7004,160000,3,FALSE,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,0,0,과학
장안로드맵수학학원,동대문구,"서울특별시 동대문구 한천로 124 , 2층 202호 (장안동)",02-2245-7004,100000,3,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,기타
더하이스트수학학원,동대문구,"서울특별시 동대문구 사가정로 190 , 상가4층 8,9호 (전농동, 전농우성아파트)",02-2249-6046,195600,5,TRUE,TRUE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,수학
더하이스트수학학원,동대문구,"서울특별시 동대문구 사가정로 190 , 상가4층 8,9호 (전농동, 전농우성아파트)",02-2249-6046,216000,5,TRUE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,영어
더하이스트수학학원,동대문구,"서울특별시 동대문구 사가정로 190 , 상가4층 8,9호 (전농동, 전농우성아파트)",02-2249-6046,86700,5,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,1,0,0,국어/논술
더하이스트수학학원,동대문구,"서울특별시 동대문구 사가정로 190 , 상가4층 8,9호 (전농동, 전농우성아파트)",02-2249-6046,160000,5,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,1,기타
